date,description,amount,category
2026-08-01,CO OP FOOD CAMDEN,-24.30,groceries
2026-08-01,ICELAND FOODS ONLINE,-42.10,groceries
2026-08-02,OCADO DELIVERY,-68.95,groceries
2026-08-02,FARMFOODS STORE 443,-19.20,groceries
2026-08-03,BOLT RIDE LONDON,-13.45,transport
2026-08-03,LIME BIKE RENTAL,-5.99,transport
2026-08-04,RYANAIR FLIGHT BOOKING,-89.99,transport
2026-08-04,PARKING PAYMENT WESTMINSTER,-12.00,transport
2026-08-05,ADOBE CREATIVE CLOUD,-19.97,subscriptions
2026-08-05,NOTION SOFTWARE SUBSCRIPTION,-8.00,subscriptions
2026-08-06,MONZO PLUS MONTHLY FEE,-5.00,subscriptions
2026-08-06,LINKEDIN PREMIUM,-34.99,subscriptions
2026-08-07,OCTOPUS ENERGY PAYMENT,-112.40,bills
2026-08-07,SKY BROADBAND BILL,-39.50,bills
2026-08-08,HMRC SELF ASSESSMENT,-220.00,bills
2026-08-08,INSURANCE DIRECT DEBIT,-58.30,bills
2026-08-09,ITSU LONDON BRIDGE,-11.45,eating_out
2026-08-09,FIVE GUYS STRATFORD,-18.70,eating_out
2026-08-10,JUST EAT ORDER 88391,-23.60,eating_out
2026-08-10,GAILS BAKERY,-7.25,eating_out
2026-08-11,UNIQLO REGENT STREET,-49.90,shopping
2026-08-11,ETSY MARKETPLACE,-27.80,shopping
2026-08-12,EBAY COMMERCE UK,-36.10,shopping
2026-08-12,PRIMARK OXFORD STREET,-31.50,shopping
2026-08-13,OPTICIAN APPOINTMENT,-55.00,health_fitness
2026-08-13,THERAPY SESSION,-70.00,health_fitness
2026-08-14,GP PRIVATE CONSULTATION,-95.00,health_fitness
2026-08-14,VITAMIN SHOP ONLINE,-22.40,health_fitness
2026-08-15,ROYAL ALBERT HALL TICKETS,-65.00,entertainment
2026-08-15,AMAZON VIDEO RENTAL,-4.99,entertainment
2026-08-16,MINI GOLF LONDON,-15.50,entertainment
2026-08-16,MUSEUM EXHIBITION TICKET,-18.00,entertainment
2026-08-17,EMPLOYER PAYROLL,2450.00,income
2026-08-17,CLIENT INVOICE PAYMENT,420.00,income
2026-08-18,VINTED SALE PAYMENT,18.50,income
2026-08-18,REFUND FROM ZARA,39.99,income
